Names,Label
Om,1
Ajay ,1
Vijay ,1
Aman ,1
Shubham ,1
Daman ,1
Yaman ,1
Tushar ,1
Aditya ,1
Gargi ,1
Fatima ,1
Prabha ,1
Shashi ,1
Pooja ,1
Anjana,1
Aarti,1
Shruti ,1
Kritika ,1
Amit ,1
Ayush,1
Alok ,1
Atul ,1
Vinay ,1
Sanjeev ,1
Sanjeevni ,1
Sarthak ,1
Vinayak ,1
Shivam ,1
Avinaash ,1
Chaya ,1
Chavi ,1
Ruchi ,1
Amrita ,1
xxx,0
xxxxxx,0
ttttt,0
diufhdcb,0
dsaidjsidjidshdidid,0
sasdsjnn,0
aoioiwa,0
hello ,0
koids,0
dhiwdk,0
jsiidhwao,0
yudijdlw,0
dwdihdwid,0
qwertyi,0
qwertyi,0
hhhh,0
jjjj,0
kkkk,0
lllll,0
oooo,0
pppppp,0
aaaaaaaa,0
ssssss,0
aa,0
ddd,0
o,0
qwertyi,0
a,0
b,0
c,0
e,0
f,0
g,0
h,0
i,0
j,0
k,0
l,0
m,0
n,0
o,0
p,0
q,0
r,0
s,0
t,0
u,0
v,0
w,0
x,0
y,0
z,0
wwwww,0
aaaa,0
qqsqsq,0
ababab,0
agagagg,0
asasass,0
asaass,0
asasass,0
plplpl,0
Ahsaas,1
Ahmita,1
Ananya,1
Ashmita,1
Shanya ,1
Smita ,1
barjraj,1
ramdin,1
sharat chandran,1
birender mandal,1
amit,1
kushal,1
kasid,1
shiv prakash,1
vikram singh,1
sanjay,1
abhi,1
ram dutt gupta,1
khadak singh,1
gurmit singh,1
chanderpal,1
aman,1
khursid,1
rajeev,1
durgesh,1
nahar singh,1
ram kumar,1
sunder paal,1
maansingh aswal,1
rohit,1
sparsh,1
santosh,1
punit khandelwal,1
dinesh,1
gulshan,1
arvind kumar yadav,1
nausad,1
afsar,1
shiv shakti singh,1
moti lal,1
kausal kumar,1
mohabbat ali,1
raj kumar,1
jaswant singh,1
sevak pitambar lal,1
chotelal,1
rupesh,1
midda,1
dharam singh,1
manoj yadav manoj,1
ram singh,1
preetam kumar,1
sarain,1
pankaj kumar,1
sheak shakir,1
riyasat ali,1
vinit katariya,1
sumit,1
arindra,1
kali charan,1
badshya khan,1
vikash,1
devinder chadda,1
mohan singh,1
hemant,1
shivam,1
yash mittal,1
aakash,1
chandesh,1
sumit mitra,1
supriyal sen,1
gajender singh goldy,1
pooran chand sharma,1
irfan,1
azaruddin,1
mukul yadav,1
manoj,1
sanjay charee,1
raja babu,1
pawan,1
sandeep,1
rajkumar chawla,1
parvesh,1
mohd ataullah,1
neeraj kumar,1
jamil khan,1
yogita,1
rijul aggarwal,1
mohd shakib,1
rahul kumar,1
rajender,1
suraj,1
rizwan,1
md mustafa,1
har parsad,1
deepak,1
rahul,1
abhishekh,1
shelender yadav,1
ankit,1
mohd aakib,1
surender singh chauhan,1
arjun,1
rahul sharma,1
keshar ansari,1
raju chhotu,1
kuldeep singh,1
santlalgolu,1
lalit rana,1
pulkit sharma,1
aman soni badal,1
jahoor ahmed meer,1
tammanne,1
kailash kumar,1
bhagwati prasad,1
ajay,1
silender,1
akhilesh,1
dipendra kumar,1
nitin,1
doodhnath pandit,1
aslam allam,1
jitender kumar,1
adnan,1
vijay,1
yogesh,1
kabir,1
sarvesh,1
rakesh sarkar,1
akash gupta,1
pintu thakur,1
vivek,1
mohd khairul,1
farmaan khan,1
vansu dev,1
shyam kumar,1
shafibul,1
lalit kathuriya,1
pooran chand,1
aamir hussain,1
kamal jit singh,1
shiv kumar,1
mayank chaudhary rahul,1
som dutt,1
bablu regar,1
rajkumar,1
mubarik,1
niraj,1
sarbjeet ronak,1
anubhav shrivastab,1
anubhav shrivastab,1
akkash,1
himanshu,1
harsh dagar,1
anil kumar,1
vijay virmani,1
vivek auhari,1
sachin,1
subhash chand bhatia,1
bhupender,1
raghunandan das,1
ajay kumar,1
yognder,1
subhash,1
arun vicky,1
vikas,1
vinod,1
salman,1
mohan kumar,1
sandeep meghawal,1
imamudeen,1
sandeep kumar,1
tarjan,1
murari,1
ramvilash,1
jagdish,1
vishal moni,1
mohd shahid,1
kuldeep,1
talim,1
nanku prasad,1
bhola sarkar,1
balraj,1
ravindra kumar,1
rohit kumar,1
uttam kumar sanki,1
babalu sen,1
rustam shah,1
sukhdev,1
vikjay kumar,1
dolly ,1
gopal sharma,1
beeru,1
vipin,1
manish garg,1
guddu,1
jatin sonu,1
amit kumar,1
shadab,1
rakesh,1
abhishek,1
gulfam,1
phoolwati phoolo devi,1
mohit maan,1
veer bhan singh,1
dinesh kumar,1
amarjeet,1
satyadev,1
mohd. mukhtaar,1
rishi,1
esrail khan,1
suresh kumar,1
pankaj chand,1
ajay narayan,1
mohit himanshu,1
saddam,1
nikhleshwar bhagat,1
jai singh,1
sunil kumar,1
ram kishan,1
arun,1
virender,1
bishun,1
pritam singh,1
kishan,1
mohd kausar,1
harman singh,1
rajbir,1
vinod lal,1
chander shaker,1
krishan,1
ram ji,1
jony,1
mohammad ali,1
ashok kumar so,1
ravinder bacchi,1
guman singh basyal,1
amardeep,1
bharat,1
azaz,1
raja kumar,1
parveen,1
mahabir prasad,1
kartik kaku,1
shubham yadav,1
madan,1
rashid,1
jitender,1
pawan kumar,1
pintu kumar,1
deep,1
dharmbir,1
rishi kakdia,1
kunal kannu,1
arman ansari,1
avinsh,1
karan,1
sagar,1
nikhil,1
raman,1
sujen manjhi,1
abhijeet,1
anshu,1
sahil,1
aditya som,1
gaurav,1
sunil,1
ravi kumar,1
shankar kumar,1
vishvash,1
sonia,1
kayamuddin,1
nandkishore karpenter,1
lala bhai,1
kishan rai,1
mahender kumar,1
mohd afzal,1
satender,1
shiv prasad singh,1
mobin,1
khokan sarkar,1
krisana braman,1
vipol,1
mohd miraj ansari,1
rajmani,1
harbir singh,1
mohan,1
farid,1
yuvraj kumar,1
charan jeet singh,1
satish kumar,1
gappu,1
nazeem,1
aamir,1
vivek sharma,1
gutam,1
prakul,1
birjesh,1
sahil tigga,1
girishi chand,1
pavan sharma,1
ikramuddin,1
sajan,1
molu,1
dilawar,1
naval kishore,1
ajahar,1
sanjeev,1
raman ralhan,1
prem chand,1
sandhaya,1
ashish,1
jang bahadur,1
om parkash ahuja,1
kamre alam,1
md. raju,1
satpal,1
ram pyare,1
suraj singh,1
ashfaq,1
shaid,1
vikas gupta,1
vijay singh,1
hari ram,1
manoj kumar,1
parash das,1
mehraj,1
chetan,1
bhanwar lal,1
sanavvar,1
mustaq,1
ramkaran verma,1
mukhtyar hussain,1
vakil,1
bilal malik,1
radheshyam sen,1
mukesh,1
sunny,1
jitender rajak,1
brahamprakash,1
raju singh,1
sobit saini,1
inder dutt,1
shakir,1
haseen ahmed,1
kiran,1
gulam rashul,1
rajan,1
ayush,1
sehboob,1
sanjay kumar so,1
manish,1
amit kumar yadav,1
divaraj,1
kamlesh,1
rajiv bagoriya,1
abhinav chaudhary,1
devender,1
azruddin,1
sanjay kumar pappu,1
mushir ahmed,1
vibhuti shyamal,1
inderjeet,1
golu,1
lokesh,1
neeraj kandari,1
mukul verma,1
rijakpal,1
jai kishan,1
munna lal jain,1
jai prakash kashyap,1
shishram,1
parveen aggarwal,1
pramod paswan,1
ajit,1
deelip,1
aaftaab husan,1
monu,1
ramesh,1
sawan gupta,1
munna lal,1
saurabh,1
sarvesh kumar pandey,1
avdhesh,1
sohnal kumar singh,1
najar hussan,1
raman rancho,1
lavtar singh,1
nanak chand,1
harprasad sahu,1
vikas kumar,1
ashsish kumar,1
rajesh singh,1
ashu,1
manjeet,1
jaipal,1
jalil ansari,1
deepak verma,1
kasim,1
monu kumar,1
manish kumar saket,1
udham,1
saurabh so,1
ravinder,1
narayan gadri,1
lakshman nath,1
sachin kumar,1
shahid,1
munna ravi jaiswal,1
ishtkar,1
harish chand,1
puneet jain,1
rashab,1
amit kumar shukla,1
praful ,1
tarachand pappu,1
deepak,1
puran ,1
narender,1
narender,1
ankush,1
no,0
why,0
how,0
nope,0
what,0
that,0
there ,0
then ,0
come,0
here,0
is,0
the,0
them,0
you ,0
doing ,0
ok,0
okay ,0
nope,0
nope,0
I ,0
clear ,0
unclear ,0
rodent ,0
zebra,0
home ,0
house ,0
light ,0
dark ,0
water ,0
Abbotsford,0
abbotship,0
abbotships,0
Abbotson,0
Abbotsun,0
Abbott,0
Abbottson,0
Abbottstown,0
Abboud,0
abbozzo,0
ABBR,0
abbrev,0
abbreviatable,0
abbreviate,0
abbreviated,0
abbreviately,0
abbreviates,0
abbreviating,0
abbreviation,0
abbreviations,0
abbreviator,0
abbreviatory,0
abbreviators,0
abbreviature,0
abbroachment,0
ABC,0
abcess,0
abcissa,0
abcoulomb,0
Darton,0
dartos,0
dartre,0
dartrose,0
dartrous,0
